Size	   Bubble Sort	Selection Sort	Insertion Sort
50	54104.22	16688.395	22402.824
100	38220.81	12047.74	78213.734
150	67241.305	24652.84	16298.69
200	93624.98	37249.445	19555.574
250	139016.64	55183.73	28572.465
300	199449.72	79183.695	40688.36
350	277585.25	110566.48	61084.504
400	359292.1	142178.19	73784.92
450	436715.03	173987.64	90513.11
500	530863.5	213124.5	112075.44
550	684524.56	277324.97	143701.5
600	803032.8	324562.84	159043.0
650	871069.4	344751.25	179416.31
700	1072892.8	432371.4	228228.44
750	1154013.2	468069.38	250574.52
800	1321292.5	525935.6	279848.03
850	1464826.2	601532.25	307469.03
900	1664820.0	656615.0	352493.84
950	1773067.9	719359.25	378836.2
1000	1951233.1	777130.0	409409.6
